"0","ga_versions_users <- read.csv(file = ""ga_versions_users.csv"", sep = "","")"
"0","clean_last_releases <- read.csv(file = ""clean_last_releases.csv"", sep = "","")"
"0",""
"0","colnames(ga_versions_users)"
"1","[1]"
"1"," ""groupID""   "
"1"," ""artifact""  "
"1"," ""nbVersions"""
"1"," ""nbUsers""   "
"1","
"
"0","colnames(clean_last_releases)"
"1","[1]"
"1"," ""groupID""      "
"1"," ""artifact""     "
"1"," ""lastVersion""  "
"1"," ""license""      "
"1"," ""repo""         "
"1"," ""releaseDate""  "
"1"," ""nbDirectDeps"" "
"1"," ""nbDirectUsers"""
"1","
"
